"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 AB2)","2024-Jan-04 21:18 ±    00:02","0.00497","0.00496","7.00","6.93","26.8","11 m -   26 m","0"
"(2023 YX1)","2024-Jan-06 13:15 ± < 00:01","0.02592","0.02578","14.31","14.30","24.9","28 m -   63 m","0"
"(2024 AH1)","2024-Jan-06 14:41 ± < 00:01","0.02300","0.02296","9.65","9.64","25.8","18 m -   40 m","0"
"(2024 AV3)","2024-Jan-06 20:27 ±    00:02","0.03125","0.03080","13.82","13.82","25.8","19 m -   41 m","0"
"(2024 AC)","2024-Jan-06 22:50 ± < 00:01","0.01547","0.01544","6.79","6.76","25.5","21 m -   47 m","0"
"(2024 AL2)","2024-Jan-07 09:32 ± < 00:01","0.01000","0.00997","6.65","6.61","27.4","8.9 m -   20 m","0"
"(2024 AM)","2024-Jan-07 12:20 ± < 00:01","0.00808","0.00808","9.02","8.99","27.8","7.2 m -   16 m","0"
"(2024 AW)","2024-Jan-07 13:36 ± < 00:01","0.02861","0.02852","8.50","8.49","25.5","21 m -   47 m","0"
"(2019 PJ)","2024-Jan-07 15:55 ± < 00:01","0.02486","0.02486","14.40","14.39","23.8","47 m -  100 m","0"
"(2024 BM1)","2024-Jan-08 00:16 ± < 00:01","0.03649","0.03607","7.31","7.30","26.0","16 m -   37 m","0"
"(2024 AC3)","2024-Jan-08 01:13 ± < 00:01","0.01044","0.01039","21.50","21.49","25.3","24 m -   53 m","0"
"(2024 AX3)","2024-Jan-08 04:48 ±    00:14","0.01233","0.01190","5.51","5.47","27.7","7.8 m -   17 m","0"
"(2024 AD2)","2024-Jan-08 10:58 ± < 00:01","0.03229","0.03202","7.27","7.26","26.4","14 m -   31 m","0"
"(2002 AY1)","2024-Jan-08 18:11 ± < 00:01","0.03879","0.03879","17.34","17.34","20.9","180 m -  400 m","1"
"(2024 BU)","2024-Jan-09 00:21 ±    00:06","0.01831","0.01820","7.03","7.01","28.3","5.8 m -   13 m","0"
"(2024 BE4)","2024-Jan-09 03:14 ± < 00:01","0.04747","0.04685","7.61","7.61","26.4","14 m -   31 m","0"
"(2023 XN13)","2024-Jan-09 06:22 ±    00:07","0.04033","0.04017","1.44","1.39","28.2","6.2 m -   14 m","0"
"(2024 AS1)","2024-Jan-09 18:12 ± < 00:01","0.00388","0.00387","16.79","16.74","27.3","9.1 m -   20 m","0"
"(2024 BQ)","2024-Jan-10 00:24 ±    00:13","0.01501","0.01488","12.72","12.71","24.9","28 m -   63 m","0"
"(2024 AC4)","2024-Jan-10 00:50 ± < 00:01","0.01625","0.01611","8.99","8.97","27.3","9.3 m -   21 m","0"
"(2024 AF4)","2024-Jan-10 04:38 ±    00:02","0.04750","0.04727","6.32","6.31","26.0","17 m -   38 m","0"
"(2023 XT14)","2024-Jan-10 12:02 ± < 00:01","0.03113","0.03098","6.37","6.36","25.7","20 m -   44 m","0"
"(2024 BA)","2024-Jan-10 12:23 ±    01:03","0.00972","0.00960","12.50","12.47","26.0","17 m -   38 m","0"
"(2024 AU1)","2024-Jan-10 14:07 ±    00:02","0.04693","0.04647","18.15","18.14","24.2","39 m -   86 m","0"
"(2024 AN1)","2024-Jan-10 17:08 ± < 00:01","0.01036","0.01035","7.94","7.91","26.6","13 m -   29 m","0"
"(2023 YO1)","2024-Jan-10 17:53 ± < 00:01","0.01742","0.01741","3.07","3.02","25.9","18 m -   39 m","0"
"(2024 AY2)","2024-Jan-10 22:52 ±    00:01","0.02139","0.02128","8.39","8.38","27.0","11 m -   24 m","0"
"(2024 AE4)","2024-Jan-11 00:18 ±    00:24","0.00814","0.00784","8.23","8.19","28.7","4.8 m -   11 m","0"
"(2024 AM4)","2024-Jan-11 09:50 ± < 00:01","0.00080","0.00080","3.20","1.88","28.7","4.8 m -   11 m","0"
"(2020 AC1)","2024-Jan-11 11:29 ± 2_10:06","0.04939","0.04207","5.32","5.31","28.4","5.6 m -   12 m","0"
"(2024 AB4)","2024-Jan-11 13:28 ± < 00:01","0.03817","0.03808","2.96","2.93","26.1","16 m -   37 m","0"
"(2024 BR1)","2024-Jan-11 14:56 ±    00:15","0.02858","0.02810","14.76","14.75","26.3","15 m -   33 m","0"
"(2024 BZ15)","2024-Jan-11 18:36 ±    10:41","0.01185","0.01148","10.43","10.41","26.4","14 m -   31 m","0"
"(2024 AG4)","2024-Jan-11 21:32 ±    00:11","0.00228","0.00227","11.97","11.87","28.4","5.5 m -   12 m","0"
"(2023 WZ3)","2024-Jan-11 23:30 ± < 00:01","0.04140","0.04140","3.99","3.97","24.6","31 m -   70 m","0"
"(2024 AR2)","2024-Jan-12 03:45 ± < 00:01","0.00847","0.00845","19.19","19.18","26.4","14 m -   31 m","0"
"(2024 BV)","2024-Jan-13 06:59 ± < 00:01","0.01444","0.01437","18.51","18.50","27.4","8.7 m -   19 m","0"
"(2024 AW2)","2024-Jan-13 12:11 ± < 00:01","0.02801","0.02790","6.74","6.73","26.3","14 m -   32 m","0"
"(2024 AR1)","2024-Jan-13 14:28 ± < 00:01","0.02564","0.02555","4.53","4.51","26.1","16 m -   37 m","0"
"(2024 BY1)","2024-Jan-13 17:58 ±    00:10","0.02037","0.02025","13.36","13.35","25.7","19 m -   43 m","0"
"(2024 AQ4)","2024-Jan-14 00:04 ± < 00:01","0.00832","0.00831","9.79","9.76","25.8","19 m -   42 m","0"
"(2024 BV1)","2024-Jan-14 10:06 ±    00:06","0.02122","0.02103","11.55","11.54","27.2","9.6 m -   21 m","0"
"(2024 AF3)","2024-Jan-14 16:21 ± < 00:01","0.02248","0.02240","6.74","6.72","27.0","11 m -   24 m","0"
"(2024 BK)","2024-Jan-14 17:34 ± < 00:01","0.02213","0.02205","15.46","15.45","24.7","30 m -   68 m","0"
"(2024 AG3)","2024-Jan-14 18:18 ±    00:03","0.01135","0.01129","9.79","9.77","27.7","7.8 m -   17 m","0"
"(2024 AZ3)","2024-Jan-14 20:23 ±    00:08","0.00166","0.00166","10.02","9.86","28.8","4.7 m -   10 m","0"
"(2024 BV2)","2024-Jan-14 23:41 ±    00:05","0.02592","0.02581","5.31","5.29","27.7","7.8 m -   17 m","0"
"(2024 BA16)","2024-Jan-15 08:11 ±    00:05","0.00094","0.00093","8.94","8.62","28.9","4.3 m -  9.7 m","0"
"(2024 AT2)","2024-Jan-15 10:50 ± < 00:01","0.00959","0.00953","8.74","8.71","27.3","9.0 m -   20 m","0"
"(2015 AK1)","2024-Jan-15 23:22 ± < 00:01","0.04057","0.04057","13.22","13.22","24.3","37 m -   83 m","0"
"(2024 BH1)","2024-Jan-16 07:06 ±    00:03","0.01904","0.01897","19.59","19.58","26.1","16 m -   35 m","0"
"(2024 BZ)","2024-Jan-16 08:33 ±    00:07","0.02599","0.02592","5.60","5.58","27.3","9.3 m -   21 m","0"
"(2024 AH4)","2024-Jan-16 16:18 ±    00:01","0.03959","0.03911","8.79","8.78","25.6","20 m -   45 m","0"
"(2024 AB3)","2024-Jan-16 23:08 ±    00:02","0.01954","0.01927","19.18","19.17","26.6","13 m -   29 m","0"
"(2021 CZ2)","2024-Jan-16 23:26 ± < 00:01","0.01999","0.01999","14.36","14.35","22.4","86 m -  190 m","1"
"(2024 BS1)","2024-Jan-17 00:41 ±    00:03","0.00794","0.00790","16.43","16.41","27.4","9.0 m -   20 m","0"
"(2024 AV4)","2024-Jan-17 12:35 ± < 00:01","0.02219","0.02212","15.47","15.46","25.3","23 m -   51 m","0"
"(2024 BB)","2024-Jan-17 16:55 ± < 00:01","0.02698","0.02685","16.98","16.97","26.1","16 m -   35 m","0"
"(2024 BW1)","2024-Jan-18 02:18 ± < 00:01","0.01664","0.01661","4.98","4.95","25.1","25 m -   56 m","0"
"(2024 CD)","2024-Jan-18 04:15 ±    00:16","0.02241","0.02225","10.17","10.16","25.5","21 m -   47 m","0"
"(2024 AP2)","2024-Jan-19 00:22 ± < 00:01","0.01031","0.01029","5.89","5.84","24.6","32 m -   70 m","1"
"(2024 BD)","2024-Jan-19 13:19 ± < 00:01","0.01828","0.01822","22.51","22.50","25.4","22 m -   50 m","0"
"(2024 CA4)","2024-Jan-19 19:37 ±    01:21","0.04181","0.04030","10.48","10.47","25.5","21 m -   48 m","0"
"(2024 AE3)","2024-Jan-19 23:26 ± < 00:01","0.02830","0.02829","7.52","7.51","24.5","34 m -   76 m","0"
"(2024 BC)","2024-Jan-20 04:25 ± < 00:01","0.00566","0.00565","18.89","18.87","27.2","9.8 m -   22 m","0"
"(2024 BQ1)","2024-Jan-20 10:25 ± < 00:01","0.00231","0.00231","6.60","6.42","30.1","2.6 m -  5.8 m","0"
"(2024 BL)","2024-Jan-20 23:00 ± < 00:01","0.01197","0.01187","18.84","18.83","27.3","9.4 m -   21 m","0"
"(2024 BE1)","2024-Jan-21 15:08 ± < 00:01","0.00545","0.00543","9.77","9.72","28.9","4.3 m -  9.7 m","0"
"(2024 CF3)","2024-Jan-21 20:39 ±    00:03","0.02150","0.02141","4.37","4.34","26.3","15 m -   33 m","0"
"(2024 CL)","2024-Jan-21 23:56 ±    00:05","0.03306","0.03279","13.34","13.34","25.1","25 m -   57 m","0"
"(2024 BX5)","2024-Jan-22 02:03 ±    00:03","0.04535","0.04525","2.81","2.79","27.5","8.4 m -   19 m","0"
"(2024 BM)","2024-Jan-22 03:49 ±    00:02","0.02028","0.02010","5.98","5.95","27.0","11 m -   24 m","0"
"(2024 BD4)","2024-Jan-22 04:34 ± < 00:01","0.00534","0.00533","1.91","1.63","26.5","13 m -   30 m","0"
"(2024 BR2)","2024-Jan-22 11:58 ± < 00:01","0.00196","0.00196","4.04","3.69","27.1","10 m -   23 m","1"
"(2024 BG2)","2024-Jan-22 19:06 ± < 00:01","0.00371","0.00370","31.60","31.57","27.0","11 m -   24 m","0"
"(2024 CZ6)","2024-Jan-22 20:14 ±    00:09","0.02690","0.02674","5.15","5.13","25.4","22 m -   49 m","0"
"(2024 BA1)","2024-Jan-23 06:47 ±    00:03","0.02187","0.02167","6.38","6.36","27.0","11 m -   24 m","0"
"(2024 BZ3)","2024-Jan-23 11:16 ±    00:03","0.00627","0.00625","5.71","5.63","27.8","7.3 m -   16 m","0"
"(2024 BV3)","2024-Jan-23 12:00 ±    00:06","0.02297","0.02255","12.82","12.81","26.8","12 m -   26 m","0"
"(2021 BL3)","2024-Jan-23 14:40 ± 4_00:19","0.04410","0.01970","23.39","23.39","24.7","30 m -   68 m","0"
"(2024 CJ)","2024-Jan-23 23:42 ±    00:02","0.02410","0.02400","6.42","6.40","25.2","24 m -   54 m","0"
"(2024 AL6)","2024-Jan-24 01:18 ± < 00:01","0.01396","0.01390","27.02","27.02","25.7","20 m -   44 m","0"
"(2024 BQ3)","2024-Jan-24 08:51 ± < 00:01","0.01229","0.01223","8.66","8.63","26.7","12 m -   27 m","0"
"(2024 BF5)","2024-Jan-25 01:51 ± < 00:01","0.03928","0.03908","12.30","12.29","25.4","22 m -   49 m","0"
"(2017 BG92)","2024-Jan-25 05:14 ± 2_07:39","0.03009","0.01413","6.29","6.27","28.8","4.7 m -   10 m","0"
"(2024 CC)","2024-Jan-25 07:02 ± < 00:01","0.02618","0.02611","5.87","5.85","25.2","24 m -   55 m","0"
"(2011 CQ1)","2024-Jan-26 05:13 ± 1_18:45","0.02894","0.02530","4.62","4.60","32.1","1.0 m -  2.3 m","0"
"(2024 BC3)","2024-Jan-26 07:27 ± < 00:01","0.04961","0.04953","17.89","17.89","22.2","96 m -  210 m","0"
"(2024 BA5)","2024-Jan-26 09:33 ± < 00:01","0.01849","0.01844","8.78","8.77","26.0","17 m -   37 m","0"
"(2024 BP4)","2024-Jan-27 00:02 ±    14:04","0.02014","0.01754","11.25","11.23","26.9","11 m -   24 m","0"
"(2024 BC5)","2024-Jan-27 07:42 ±    00:02","0.01724","0.01706","12.43","12.42","24.8","29 m -   65 m","0"
"(2024 BJ)","2024-Jan-27 17:29 ± < 00:01","0.00236","0.00236","6.35","6.17","26.3","15 m -   33 m","1"
"(2024 BF1)","2024-Jan-27 22:59 ± < 00:01","0.02686","0.02682","26.02","26.02","23.3","59 m -  130 m","1"
"(2024 AU4)","2024-Jan-28 00:18 ± < 00:01","0.04215","0.04194","17.42","17.42","23.1","63 m -  140 m","0"
"(2024 BP3)","2024-Jan-28 13:36 ±    00:03","0.00474","0.00472","13.67","13.63","27.5","8.4 m -   19 m","0"
"(2024 CR)","2024-Jan-28 19:56 ±    00:03","0.01738","0.01733","10.24","10.22","26.9","11 m -   24 m","0"
"(2024 CO4)","2024-Jan-28 21:10 ±    00:26","0.02001","0.01986","11.47","11.46","26.6","13 m -   29 m","0"
"(2024 CW1)","2024-Jan-28 22:44 ±    00:10","0.04360","0.04336","8.32","8.32","26.6","12 m -   28 m","0"
"(2024 BC6)","2024-Jan-29 07:22 ± < 00:01","0.00545","0.00539","12.13","12.09","28.1","6.4 m -   14 m","0"
"(2024 CG)","2024-Jan-30 10:01 ±    00:03","0.00810","0.00801","9.77","9.74","26.5","14 m -   30 m","0"
"(2024 BA3)","2024-Jan-30 11:43 ± < 00:01","0.00400","0.00400","5.76","5.65","28.9","4.5 m -   10 m","0"
"(2024 BS6)","2024-Jan-31 03:01 ± < 00:01","0.01278","0.01267","11.94","11.92","25.6","20 m -   45 m","0"
"(2024 CK)","2024-Jan-31 08:31 ± < 00:01","0.01561","0.01558","7.72","7.70","25.3","23 m -   52 m","0"
"(2024 BR3)","2024-Jan-31 10:42 ± < 00:01","0.02920","0.02904","11.29","11.28","25.2","24 m -   54 m","0"
"(2024 CS)","2024-Feb-01 09:20 ± < 00:01","0.00681","0.00676","16.99","16.96","25.4","22 m -   49 m","1"
"(2003 BM4)","2024-Feb-01 19:26 ± < 00:01","0.02221","0.02221","10.86","10.85","24.9","27 m -   61 m","0"
"(2024 BY)","2024-Feb-01 22:06 ± < 00:01","0.01694","0.01691","5.37","5.34","26.3","14 m -   32 m","0"
"(2024 CD3)","2024-Feb-02 01:05 ±    00:01","0.03777","0.03759","8.61","8.60","26.0","16 m -   37 m","0"
"(2024 BO3)","2024-Feb-02 07:18 ±    00:15","0.03448","0.03420","12.13","12.12","26.7","12 m -   27 m","0"
"(2024 CO8)","2024-Feb-02 13:32 ±    00:15","0.04102","0.04029","10.52","10.51","26.5","13 m -   29 m","0"
"(2024 BJ3)","2024-Feb-02 13:50 ± < 00:01","0.00574","0.00573","17.75","17.72","26.0","17 m -   37 m","0"
"(2008 OS7)","2024-Feb-02 14:41 ± < 00:01","0.01908","0.01908","18.17","18.16","20.4","220 m -  500 m","2"
"(2024 BP1)","2024-Feb-02 19:17 ±    00:02","0.02289","0.02267","7.21","7.19","24.8","30 m -   66 m","0"
"(2024 BA4)","2024-Feb-03 04:36 ± < 00:01","0.02351","0.02333","12.99","12.98","26.8","12 m -   26 m","0"
"(2024 BN3)","2024-Feb-03 05:01 ± < 00:01","0.01923","0.01914","7.26","7.24","27.5","8.5 m -   19 m","0"
"(2007 EG)","2024-Feb-03 10:22 ± < 00:01","0.02996","0.02996","7.75","7.74","24.6","33 m -   73 m","0"
"(2024 CT)","2024-Feb-03 14:56 ± < 00:01","0.00456","0.00455","8.21","8.14","26.8","11 m -   26 m","0"
"(2019 CC5)","2024-Feb-04 07:10 ± < 00:01","0.04904","0.04904","14.96","14.96","22.0","110 m -  240 m","1"
"(2024 CZ)","2024-Feb-04 07:14 ± < 00:01","0.03087","0.03074","5.53","5.51","26.6","13 m -   28 m","0"
"(2024 CB)","2024-Feb-04 09:05 ± < 00:01","0.02445","0.02437","8.43","8.42","26.0","17 m -   37 m","0"
"(2024 CT8)","2024-Feb-05 08:08 ±    01:17","0.01373","0.01361","7.55","7.53","26.5","13 m -   29 m","0"
"(2024 BS4)","2024-Feb-05 08:35 ± < 00:01","0.02772","0.02759","9.46","9.45","25.9","18 m -   39 m","0"
"(2024 CN2)","2024-Feb-05 10:06 ± < 00:01","0.03087","0.03076","17.50","17.50","25.9","17 m -   39 m","0"
"(2024 BE5)","2024-Feb-05 11:17 ± < 00:01","0.04449","0.04432","9.60","9.60","25.5","21 m -   47 m","0"
"(2024 CR2)","2024-Feb-05 12:47 ± < 00:01","0.03162","0.03147","11.21","11.21","23.9","43 m -   96 m","0"
"(2024 DM)","2024-Feb-05 12:54 ±    01:03","0.04293","0.04192","13.37","13.36","25.0","27 m -   60 m","0"
"(2024 CH)","2024-Feb-05 14:52 ± < 00:01","0.00590","0.00589","20.80","20.78","25.9","17 m -   39 m","0"
"(2024 DT)","2024-Feb-05 21:49 ±    01:09","0.03827","0.03751","16.72","16.72","24.4","36 m -   80 m","0"
"(2024 BT3)","2024-Feb-06 13:12 ±    00:02","0.03618","0.03577","5.03","5.02","26.9","11 m -   24 m","0"
"(2023 SP1)","2024-Feb-07 00:06 ± < 00:01","0.03665","0.03665","11.80","11.79","20.8","190 m -  420 m","1"
"(2024 DS)","2024-Feb-07 02:44 ±    01:23","0.01762","0.01727","11.95","11.93","25.9","17 m -   39 m","0"
"(2024 DP)","2024-Feb-07 02:49 ±    00:03","0.01127","0.01121","6.69","6.65","25.4","22 m -   48 m","0"
"(2024 CQ2)","2024-Feb-07 05:10 ±    00:01","0.00637","0.00635","10.96","10.93","27.5","8.5 m -   19 m","0"
"(2024 BW4)","2024-Feb-07 05:27 ± < 00:01","0.02972","0.02946","22.10","22.10","24.1","40 m -   89 m","0"
"(2024 CF2)","2024-Feb-07 06:02 ± < 00:01","0.00901","0.00897","29.42","29.41","26.5","13 m -   29 m","0"
"(2024 CF4)","2024-Feb-07 21:39 ±    00:04","0.02859","0.02840","22.06","22.06","25.0","26 m -   59 m","0"
"(2024 CG2)","2024-Feb-08 03:42 ± < 00:01","0.00666","0.00666","9.18","9.13","23.1","64 m -  140 m","2"
"(2024 CK1)","2024-Feb-08 09:29 ± < 00:01","0.00152","0.00152","12.06","11.91","29.4","3.6 m -  8.0 m","0"
"(2024 CO2)","2024-Feb-08 18:51 ±    00:04","0.00380","0.00378","10.60","10.54","26.8","11 m -   25 m","0"
"(2024 FQ)","2024-Feb-09 18:41 ± < 00:01","0.03316","0.03316","3.54","3.51","25.6","20 m -   45 m","0"
"(2024 CJ1)","2024-Feb-09 20:10 ± < 00:01","0.00246","0.00245","7.63","7.48","28.4","5.5 m -   12 m","0"
"(2024 BH)","2024-Feb-10 10:37 ± < 00:01","0.04704","0.04700","8.08","8.07","23.2","60 m -  130 m","0"
"(2024 CN8)","2024-Feb-10 13:11 ±    00:02","0.00307","0.00306","3.12","2.83","28.9","4.3 m -  9.6 m","0"
"(2024 CV1)","2024-Feb-10 21:53 ± < 00:01","0.01328","0.01324","3.06","3.00","28.7","4.9 m -   11 m","0"
"(2024 CH4)","2024-Feb-11 06:10 ±    00:03","0.00073","0.00073","24.01","23.86","27.7","7.7 m -   17 m","1"
"(2024 CZ3)","2024-Feb-11 07:57 ± < 00:01","0.01315","0.01314","9.30","9.28","25.0","27 m -   61 m","0"
"(2024 CU)","2024-Feb-11 08:58 ± < 00:01","0.00462","0.00462","7.25","7.17","26.4","14 m -   32 m","0"
"(2024 EE1)","2024-Feb-11 16:36 ±    01:06","0.04142","0.04110","5.60","5.58","26.0","17 m -   37 m","0"
"(2024 CC4)","2024-Feb-12 04:18 ± < 00:01","0.01176","0.01163","7.76","7.73","27.5","8.3 m -   19 m","0"
"(2024 CY1)","2024-Feb-12 07:32 ± < 00:01","0.00081","0.00081","14.53","14.30","29.2","3.8 m -  8.5 m","0"
"(2020 DK)","2024-Feb-12 13:49 ± 3_12:28","0.02279","0.00941","9.87","9.86","26.1","16 m -   36 m","0"
"(2024 CM5)","2024-Feb-12 15:42 ± < 00:01","0.00094","0.00094","10.76","10.50","28.3","5.7 m -   13 m","0"
"(2024 DD)","2024-Feb-13 03:15 ±    00:14","0.00885","0.00878","13.24","13.22","27.9","6.9 m -   15 m","0"
"(2024 CD4)","2024-Feb-13 05:17 ± < 00:01","0.01114","0.01113","6.39","6.35","26.6","12 m -   28 m","0"
"(2024 CB1)","2024-Feb-13 08:07 ± < 00:01","0.00979","0.00977","17.55","17.53","24.1","39 m -   88 m","1"
"(2024 DH)","2024-Feb-13 09:00 ±    00:01","0.01843","0.01828","17.61","17.60","26.2","16 m -   35 m","0"
"(2024 CB7)","2024-Feb-13 09:47 ± < 00:01","0.01130","0.01128","8.27","8.24","26.0","17 m -   37 m","0"
"(2024 DA)","2024-Feb-13 22:15 ± < 00:01","0.00813","0.00810","12.52","12.49","27.4","8.8 m -   20 m","0"
"(2024 CD1)","2024-Feb-14 03:03 ±    00:14","0.02528","0.02505","12.30","12.29","26.4","14 m -   31 m","0"
"(2024 CR6)","2024-Feb-14 03:10 ±    00:05","0.00281","0.00280","21.86","21.81","27.9","6.8 m -   15 m","0"
"(2024 CK3)","2024-Feb-14 05:24 ± < 00:01","0.04493","0.04484","7.78","7.77","24.7","30 m -   67 m","0"
"(2024 CL1)","2024-Feb-14 07:11 ±    00:01","0.00865","0.00859","14.25","14.23","25.8","18 m -   41 m","0"
"(2024 BR4)","2024-Feb-14 11:03 ± < 00:01","0.03075","0.03061","12.46","12.46","21.4","140 m -  310 m","1"
"(2024 DC1)","2024-Feb-14 13:25 ±    01:27","0.04387","0.04325","6.97","6.96","26.7","12 m -   27 m","0"
"(2024 CU1)","2024-Feb-14 13:31 ± < 00:01","0.00391","0.00390","10.81","10.75","26.7","12 m -   27 m","0"
"(2024 CE1)","2024-Feb-15 00:01 ± < 00:01","0.02830","0.02800","9.16","9.15","25.6","20 m -   45 m","0"
"(2024 DK1)","2024-Feb-15 07:53 ±    00:05","0.01383","0.01375","6.82","6.79","27.2","9.5 m -   21 m","0"
"(2024 CN3)","2024-Feb-15 12:27 ±    00:14","0.04009","0.03984","9.22","9.21","26.2","15 m -   34 m","0"
"(2024 CE4)","2024-Feb-15 19:32 ±    00:04","0.00628","0.00627","18.67","18.65","27.3","9.3 m -   21 m","0"
"(2024 CP5)","2024-Feb-16 00:25 ± < 00:01","0.04266","0.04251","7.82","7.82","26.0","17 m -   37 m","0"
"(2024 DE)","2024-Feb-16 01:00 ± < 00:01","0.01314","0.01310","6.22","6.19","27.8","7.3 m -   16 m","0"
"(2024 CK6)","2024-Feb-16 01:32 ± < 00:01","0.02878","0.02872","8.23","8.22","26.6","13 m -   29 m","0"
"(2024 CP4)","2024-Feb-16 01:52 ± < 00:01","0.01455","0.01450","11.61","11.60","25.4","23 m -   50 m","0"
"(2024 AO)","2024-Feb-16 03:05 ± < 00:01","0.02370","0.02370","7.29","7.28","24.2","38 m -   85 m","0"
"(2024 DV)","2024-Feb-16 17:37 ± < 00:01","0.00881","0.00880","5.69","5.64","26.3","15 m -   33 m","0"
"(2024 CT6)","2024-Feb-16 21:24 ± < 00:01","0.00240","0.00240","20.94","20.89","29.2","3.9 m -  8.6 m","0"
"(2024 CA2)","2024-Feb-16 23:40 ±    00:09","0.03009","0.02939","10.74","10.73","24.4","36 m -   80 m","0"
"(2024 CF7)","2024-Feb-17 05:12 ±    00:01","0.00071","0.00071","10.61","10.25","29.5","3.4 m -  7.6 m","0"
"(2024 DZ)","2024-Feb-17 06:32 ±    00:01","0.01216","0.01212","7.59","7.56","28.4","5.4 m -   12 m","0"
"(2024 CR5)","2024-Feb-17 14:43 ± < 00:01","0.04392","0.04345","14.12","14.11","25.6","21 m -   46 m","0"
"(2024 CS6)","2024-Feb-17 17:29 ± < 00:01","0.01915","0.01911","6.67","6.65","26.1","16 m -   35 m","0"
"(2024 CS7)","2024-Feb-17 22:44 ± < 00:01","0.02097","0.02093","12.84","12.83","25.1","25 m -   56 m","0"
"(2024 CA8)","2024-Feb-18 01:43 ± < 00:01","0.01950","0.01941","26.08","26.07","24.3","36 m -   81 m","0"
"(2024 BC8)","2024-Feb-18 03:37 ± < 00:01","0.01593","0.01588","10.50","10.48","25.4","22 m -   49 m","0"
"(2024 DY)","2024-Feb-18 15:28 ± < 00:01","0.00115","0.00115","11.82","11.62","29.0","4.2 m -  9.3 m","0"
"(2024 EU2)","2024-Feb-18 18:17 ±    01:26","0.03333","0.03251","12.63","12.62","24.8","29 m -   65 m","0"
"(2024 CH2)","2024-Feb-18 23:23 ± < 00:01","0.01458","0.01453","9.59","9.57","26.0","17 m -   37 m","0"
"(2024 CJ6)","2024-Feb-19 14:31 ± < 00:01","0.01177","0.01174","15.40","15.39","26.5","13 m -   30 m","0"
"(2024 CV8)","2024-Feb-19 19:21 ± < 00:01","0.00301","0.00301","17.10","17.05","26.3","15 m -   33 m","1"
"(2024 DC)","2024-Feb-19 19:49 ± < 00:01","0.03201","0.03179","9.25","9.24","26.7","12 m -   27 m","0"
"(2024 DL1)","2024-Feb-20 14:22 ±    00:02","0.01654","0.01645","10.14","10.12","27.3","9.4 m -   21 m","0"
"(2024 CK5)","2024-Feb-20 18:45 ±    00:07","0.01873","0.01862","9.51","9.50","27.5","8.4 m -   19 m","0"
"(2024 DM1)","2024-Feb-21 05:15 ±    00:01","0.02234","0.02223","7.48","7.47","27.1","10 m -   23 m","0"
"(2024 EV)","2024-Feb-21 13:09 ±    00:05","0.01247","0.01238","13.04","13.03","26.6","13 m -   28 m","0"
"(2024 CL5)","2024-Feb-21 15:19 ± < 00:01","0.01221","0.01214","13.97","13.95","26.1","16 m -   36 m","0"
"(2024 DW)","2024-Feb-22 04:37 ± < 00:01","0.00150","0.00150","17.90","17.80","27.1","9.9 m -   22 m","1"
"(2024 EJ)","2024-Feb-22 06:28 ±    00:02","0.02022","0.02013","10.78","10.76","25.6","21 m -   46 m","0"
"(2024 CE8)","2024-Feb-22 08:55 ± < 00:01","0.02706","0.02689","18.84","18.83","25.5","22 m -   48 m","0"
"(2024 EC)","2024-Feb-22 09:05 ± < 00:01","0.03018","0.03012","12.33","12.33","24.1","41 m -   91 m","0"
"(2024 DX)","2024-Feb-22 14:16 ± < 00:01","0.00518","0.00518","10.41","10.36","27.3","9.3 m -   21 m","0"
"(2024 EC2)","2024-Feb-22 18:39 ± < 00:01","0.01471","0.01469","13.09","13.07","25.2","25 m -   55 m","0"
"(2024 DJ1)","2024-Feb-22 18:50 ±    00:01","0.03209","0.03191","13.46","13.46","25.1","26 m -   57 m","0"
"(2024 BY15)","2024-Feb-23 08:57 ±    00:02","0.03080","0.03079","1.58","1.53","26.7","12 m -   27 m","0"
"(2024 CL3)","2024-Feb-23 12:31 ± < 00:01","0.02378","0.02371","4.17","4.14","26.3","14 m -   32 m","0"
"(2024 EX)","2024-Feb-26 00:46 ±    00:10","0.00810","0.00809","8.04","8.00","27.7","7.8 m -   17 m","0"
"(2024 EL)","2024-Feb-27 06:36 ± < 00:01","0.03050","0.03024","10.27","10.27","25.2","24 m -   54 m","0"
"(2024 EX1)","2024-Feb-27 17:38 ± < 00:01","0.01337","0.01328","16.29","16.28","25.9","18 m -   40 m","0"
"(2024 CT7)","2024-Feb-27 23:37 ± < 00:01","0.01584","0.01581","7.71","7.69","26.7","12 m -   27 m","0"
"(2024 CC7)","2024-Feb-28 11:08 ±    00:04","0.03937","0.03918","6.00","5.98","26.4","14 m -   32 m","0"
"(2024 CE7)","2024-Feb-28 16:23 ±    00:05","0.03473","0.03442","19.35","19.34","24.8","30 m -   66 m","0"
"(2024 DL)","2024-Feb-29 02:34 ± < 00:01","0.01167","0.01166","6.73","6.69","26.0","16 m -   37 m","0"
"(2024 EE)","2024-Feb-29 10:07 ± < 00:01","0.02400","0.02394","8.35","8.34","24.7","30 m -   68 m","0"
"(2024 CA7)","2024-Feb-29 20:43 ± < 00:01","0.03805","0.03799","32.50","32.50","22.6","82 m -  180 m","1"
